name,externalid,lat,long
5. května do centra,KV-CE,50.044070000000005,14.46062
5.května - Brněnská 0.5,500035,50.02910498338736,14.49529080025701
5.května - Brněnská 0.9,500036,50.02652053860061,14.49900191724273
5.května – Jižní spojka,500476,50.04017041072581,14.470640906658579
5.května – OBI,500477,50.039988728484325,14.47798567611346
5.května – Pod Chodovem,500478,50.03556090555799,14.491475885745206
Bělohorská z centra,BE-BA,50.07600000000001,14.331230000000001
Bělohorská-Kukulova,,50.0790656752469,14.344196319580078
Chilská-Opatovská,,50.02398148470845,14.508905410766602
Chodovská-U plynárny,,50.05694590702928,14.471139907836914
"CM/BUS, MHD nástupiště - vpředu",607502,50.108699498482316,14.576944307257468
Cínovecká - Liberecká směr Most Barikádníku,CL-MB,50.139726,14.49435
Dobříšská - Mrázovka,DM-TS,50.064798,14.402339
Dobříšská směr Barrandov,ZR-ST,50.06154,14.4059
Dobříšská směr Mrázovka,ZR-MR,50.05595,14.407110000000001
DP - Kobylisy C - BUS směr Prosek,606746,50.12472342774085,14.4559073756837
DP - Kobylisy C - Střelničná,606744,50.125455326746795,14.45720425078164
DP - Černý Most/BUS Dálková doprava ČSAD Chlumecká,607514,50.10950167677577,14.58052817471444
Evropská do centra,EV-CE,50.09286,14.317540000000001
Horoměřická směr centrum SMR,HS-PU,50.105682,14.353623
Horoměřická směr centrum UMR,HS-PH,50.105969,14.353376
Horoměřická směr Horoměřice SMR,HS-HU,50.105072,14.356693
Horoměřická směr Horoměřice UMR,HS-HM,50.104695,14.356606
I.P.Pavlova-Sokolská,,50.07545779175343,14.428997039794922
Jižní spojka 1 - Barrandovský most směr Krč,BM-KR,50.03197,14.418740000000001
Jižní spojka 2 - Krč - Chodovská,JK-CH,50.03266578163469,14.43277359008789
Jižní spojka 3 - Chodovská - Teplice,CH-TP,50.04749,14.472380000000001
Jižní spojka – 5. května,500491,50.038801453482584,14.46753914558952
Jižní spojka – Lanový most,500498,50.06299809472,14.513693088745176
Jižní spojka – Michelská,500490,50.03785080289726,14.457291632490794
Jižní spojka – Rabakovská východ,500572,50.06631234686733,14.522466929459178
Jižní spojka – Rabakovská západ,500571,50.06632595987834,14.518825844296007
Jižní spojka – Radiová,500573,50.070505223117046,14.531316054183124
Jižní spojka – Sliačská,500492,50.04578471891376,14.47107775440062
Jižní spojka – Spořilovská jih,500493,50.05016945275532,14.47766297670135
Jižní spojka – Spořilovská sever,500494,50.05142800569741,14.478979682422787
Jižní spojka – Sulická,500489,50.03486267104247,14.44336512088988
Jižní spojka – V Korytech,500496,50.061286988557754,14.494857687005224
Jižní spojka – Vrbova východ,500488,50.032847853558785,14.428341607596387
Jižní spojka – Vrbova západ,500487,50.03168976055216,14.413446141239454
Jižní spojka – Záběhlická,500495,50.05492504602552,14.479489566775786
Jižní spojka – Švehlova,500497,50.06111806526938,14.504725793504312
Jižní spojka-Spořilovská směr centrum,JS-CE,50.046971,14.471673
K Barrandovu-K Holyni,,50.02450534394439,14.355225563049316
K Barrandovu-Ke Smíchovu,,50.019321413524885,14.347715377807617
K Barrandovu-Lamačova,,50.03379600320423,14.382948875427246
Kbelská – Desenská,500560,50.13174703413755,14.49898293420414
Kbelská – Kolbenova,500556,50.110185211428615,14.531318197618273
Kbelská – Mladoboleslavská jih,500558,50.1170605152934,14.519359637544758
Kbelská – Mladoboleslavská sever,500559,50.121022931953036,14.516102737700919
Kbelská – Veselská,500561,50.13581007937495,14.495524414955177
Kbelská – Vysočanská,500557,50.11247656503612,14.530718568387787
Kbelská-Poděbradská,,50.104932,14.531274
Kolbenova-Kbelská,,50.10995566437051,14.531307220458984
Legerova-Rumunská,,50.073695062930064,14.430327415466309
Legerova-Rumunská směr centrum,LR-IP,50.073764,14.430839
Libocká směr Evropská MOR,LS-DS,50.086223,14.328946
Libocká směr Evropská UMR,LI-DS,50.086223,14.329946
Libocká směr Vypich MOR,LS-VY,50.08737,14.328014
Libocká směr Vypich UMR,LI-BH,50.08737,14.329014
Lipská směr Pražský okruh,LI-PO,50.107368,14.292684
Lipská směr Slaný,LI-SL,50.103653,14.294579
Modřanská směr centrum MOR,MO-CE,50.022688,14.404059
Modřanská směr z centra MOR,MO-MO,50.024009,14.404076
Mrázovka směr Barrandov,MR-ZR,50.06915000000001,14.397710000000002
Mrázovka směr Strahovský tunel,MR-TS,50.06595,14.40041
Na Dlouhém lánu směr z centra MOR,DL-KL,50.095637,14.360311
Na Okraji směr z centra MOR,NO-KR,50.09032,14.344852
Parkoviště Běchovice,534001,50.0808,14.597429
Parkoviště Chodov,534017,50.032074,14.492015
Parkoviště Chodov A,5340171,50.032753,14.491086
Parkoviště Chodov E,5340172,50.032753,14.491086
Parkoviště Holešovice,534002,50.109318,14.441252
Parkoviště Hostivař,534015,50.076397,14.517204
Parkoviště Kongresové centrum Praha,534203,50.06102,14.428728
Parkoviště Kotlářka,530002,50.06858,14.358078
Parkoviště Letňany,534016,50.125168,14.514741
Parkoviště Ládví,534014,50.126156,14.472344
Parkoviště Nové Butovice,534013,50.05053,14.350451
Parkoviště Opatov,534005,50.026302,14.509193
Parkoviště Palmovka,534006,50.101227,14.4723215
Parkoviště Petržílkova,175,50.052147,14.349914
Parkoviště Písnice,530003,50.003105,14.466562
Parkoviště Radotín,534007,49.986687,14.36348
Parkoviště Rajská zahrada,534004,50.10684,14.56221
Parkoviště Skalka I,534012,50.069622,14.507447
Parkoviště Skalka II,534010,50.070156,14.511875
Parkoviště Slovan,534202,50.080696,14.431474
Parkoviště Troja,174,50.11548,14.437327
Parkoviště Wilsonova,534201,50.083508,14.434239
Parkoviště Zličín I,534008,50.054527,14.28977
Parkoviště Zličín II,534009,50.053432,14.290852
Parkoviště Černý Most I,534003,50.11016,14.579415
Parkoviště Černý Most II,534011,50.110615,14.582787
Parkoviště Švehlova,530004,50.061,14.506114
Patočkova x Bělohorská směr centrum,PB-CE,50.084054,14.360543
Podolské nábřeží do centra,PN-CE,50.05306,14.4174
Poděbradská do centra,PD-CE,50.106840000000005,14.544950000000002
Poděbradská směr Černý Most,PD-CM,50.106171,14.539547
Průmyslová – Jižní spojka,500551,50.07325118311072,14.537545029359459
Průmyslová – Poděbradská,500555,50.10474123774383,14.531250205873297
Průmyslová – Tiskařská,500552,50.08281676449091,14.538089979097442
Průmyslová – Čelákovická,500554,50.09860097053385,14.530691611850864
Průmyslová – Českobrodská,500553,50.09116176284334,14.533744794260718
Sokolská - Ječná,SJ-BR,50.075537,14.429184
Spořilovská – Jižní spojka,500499,50.05061283620988,14.478235389697968
Spořilovská – Senohrabská,500480,50.04244570368519,14.48910966377315
Spořilovská-Hlavní směr centrum,SH-CE,50.044683,14.488814
Strahovský tunel směr Mrázovka,TS-MR,50.080960000000005,14.385430000000001
Strahovský tunel směr Patočkova,TS-PA,50.07777,14.390450000000001
Strakonická směr do centra,ST-CE,49.996120000000005,14.397020000000001
Strakonická – Bar. most,500521,50.03798690251233,14.404619341176973
Strakonická – Dostihová,500524,50.01209392510036,14.394291806667812
Strakonická – Lahovice,500526,49.98801977300049,14.398356889089714
Strakonická – Výpadová,500525,49.99571499990112,14.397022787393551
Strakonická – Zbraslavská jih,500523,50.02324331349933,14.39428974383804
Strakonická – Zbraslavská sever,500522,50.02908550860576,14.397575536995193
Střešovická směr centrum,SR-PA,50.09286,14.37852
TSK - Flora (Vinohradská - Jičínská),500012,50.077712625626155,14.46083458207928
TSK - K Barrandovu - Lamačova,500483,50.03352609842701,14.382575245279355
TSK - K Barrandovu - Pod Habrovou,500481,50.03671497995624,14.400094682614107
TSK - K Barrandovu -Slivenecká,500482,50.03650109968035,14.387703013204543
TSK - Kbelská - Kolbenova,500110,50.110132163711356,14.531323160471437
TSK - Kbelská - Poděbradská,500109,50.104672235979805,14.531235971212732
TSK - náměstí I. P. Pavlova,500005,50.07556788903807,14.429207337878692
TSK - Rohanské nábřeží-Ke Štvanici,500611,50.09406498311608,14.438433568881544
TSK - Vrchlického - U Strojíren,500216,50.06956879931675,14.382414396919371
TSK Štefánikova 23 - web,205023,50.07442361168439,14.403615635313697
TSK-5. května,500002,50.04280417107957,14.463198860135998
TSK-Anglická-Italská,500026,50.07581402125395,14.435023218094909
TSK-Argentinská-Dělnická,500064,50.10309117447305,14.443114326656364
TSK-Argentinská-Jateční,500063,50.101211686725456,14.443173723591629
TSK-Argentinská-Plynární,500065,50.1079449492094,14.443482855858921
"TSK-ATM-A KM 12,965",500376,50.060721415113186,14.406158428946629
"TSK-ATM-A KM 13,095",500375,50.06183998791511,14.405941911933215
"TSK-ATM-A KM 13,329",500372,50.063809433084984,14.403897465862258
"TSK-ATM-A KM 13,657",500368,50.06586776705112,14.399919691023824
"TSK-ATM-A KM 13,759",500367,50.06686498238049,14.399261353201577
"TSK-ATM-B KM 13,460",500336,50.064864985113765,14.401953021419478
"TSK-ATM-B KM 13,772",500339,50.067312210837386,14.399400240674117
"TSK-ATM-B KM 14,020",500341,50.069651098682854,14.398272457435086
"TSK-ATM-MO-A-Radlická KM 0,014",500303,50.0648177629931,14.400916910497596
"TSK-ATM-Přemostěni ATM-SAT KM 14,250",500343,50.07134989262341,14.398434929531449
"TSK-ATM-Přemostění SAT-ATM KM 14,295",500362,50.07167331960394,14.398291909477225
"TSK-ATM-Radlická-MO-B KM 0,033",500301,50.06525387611847,14.401389133935162
"TSK-ATM-Radlická-MO-B KM 0,156",500302,50.064831653837615,14.403075234639598
TSK-ATM-Větve Mrázovka-Radlická,500306,50.0647844261869,14.404036352237984
TSK-Balabenka,500102,50.104392498496836,14.481617106619955
TSK-Bohdalecká-U Plynárny,500016,50.056750872642745,14.471147299252308
TSK-Bělocerkevská,500019,50.073538577896294,14.470000829965388
TSK-Bělohorská-Pod Královkou,500081,50.085035259052006,14.3793824926604
TSK-Demínka (Anglická-Škrétova),500006,50.07716916683115,14.431772236020546
TSK-Eden (Vršovická-Bělocerkevská),500017,50.06928143585414,14.468960872344548
TSK-Francouzská-Nám. Míru,500024,50.07483549072481,14.43736523510529
TSK-Freyova-Ocelářská,500106,50.105694261821036,14.502746302366422
TSK-Hlávkův most,500062,50.09769718807752,14.43734421411918
TSK-J. Želivského,500021,50.07865007690158,14.473143543925802
TSK-Jiráskův most,500045,50.0756547137958,14.413736859567694
TSK-Jiráskův most-Diezenhoferovy sady,500503,50.07554554001037,14.408944683590372
TSK-Jižní spojka,500475,50.03540664815479,14.408161359142975
TSK-Karlovo nám.-Odborů,500027,50.07768137612368,14.419308410244039
TSK-Karlovo náměstí-Resslova,500028,50.0757661869361,14.419041668217139
TSK-Kartouzská u rampy D z Centra,500219,50.07347332142238,14.401405791476131
TSK-Kartouzská-Štefánikova,500504,50.07445387530571,14.403928017988692
TSK-Klárov,500510,50.09008164984745,14.410430793443691
TSK-Koh-i-noor (Vršovická-Moskevská),500015,50.06748779258325,14.46056762544599
TSK-Korunovační,500072,50.099578723521596,14.422044655369596
TSK-Legerova-Anglická,500007,50.07718188121096,14.4302746108092
TSK-Legerova-Rumunská,500004,50.07359825532538,14.430213379656363
TSK-Letenské náměstí,500073,50.09972282950322,14.421411779021843
TSK-Letenský tunel-Štefánikův most,500061,50.095387783684195,14.427037976097191
TSK-Libušinna-Rašínovo nábřeží,500042,50.06612937627001,14.4151997474536
TSK-Mariánské hradby-Prašný most,500078,50.093303602960155,14.39858017350879
TSK-Muzeum,500008,50.07975624427018,14.430383748760296
TSK-Myslbekova-Dlabačov,500079,50.08597783288123,14.384380671654348
TSK-Nuselský most,500003,50.06273327286045,14.432181250221849
TSK-Náměstí Jana Palacha,500047,50.088759868605734,14.41572213436642
TSK-Náměstí Jiřího z Poděbrad,500013,50.07712564972658,14.449770628253292
TSK-Náměstí Kinských,500508,50.07888957925937,14.404356670603471
TSK-náměstí OSN 1.,500107,50.11136868007058,14.50288238872722
TSK-náměstí OSN 2.,500108,50.11113624921936,14.502516155313788
TSK-Národní divadlo,500046,50.081509523561344,14.412912917214292
TSK-Ohrada (Koněvova-Želivského),500022,50.09015209051565,14.467804497008197
TSK-Olšanské náměstí,500023,50.08254480358856,14.459431898303066
TSK-Ostrovského-Radlická,500505,50.06867887044638,14.401675241210219
TSK-Palackého náměstí,500044,50.07317435207167,14.413847774589016
TSK-Palmovka,500101,50.10128544952478,14.47334507601718
TSK-Patočkova-Střešovická ,500083,50.092547736545434,14.38749033907658
TSK-Plzeňská-Kartouzská,500217,50.07216220745755,14.397980796807174
TSK-Plzeňská-Tomáškova,500218,50.07245387251077,14.395844684697083
TSK-Radlická k Plzeňské,500222,50.07244556739401,14.400756690125611
TSK-Radlická k rampě D,500221,50.07244832011026,14.400841912991163
TSK-Ruská,500018,50.07339508304241,14.469608339831405
"TSK-SAT-A KM 14,438",500284,50.07321498216606,14.397528012261064
"TSK-SAT-A KM 14,648",500281,50.07382887617061,14.396072467643036
"TSK-SAT-A KM 14,828",500279,50.07442609720377,14.394566907111479
"TSK-SAT-A KM 14,938",500278,50.0748149814123,14.39398079847807
"TSK-SAT-A KM 15,138",500276,50.07550943180972,14.392825246111931
"TSK-SAT-A KM 15,348",500274,50.076748321877616,14.391169683097953
"TSK-SAT-A KM 15,538",500272,50.07818998754311,14.389286344226855
"TSK-SAT-A KM 15,738",500270,50.079645542139474,14.387350243039254
"TSK-SAT-A KM 15,838",500269,50.08039553665994,14.386350240351982
"TSK-SAT-A KM 15,938",500268,50.081176092000234,14.385275235317131
"TSK-SAT-A KM 16,028",500267,50.082048314342636,14.384172463573778
"TSK-SAT-A KM 16,208",500265,50.08352609962868,14.382205800169146
"TSK-SAT-A KM 16,388",500263,50.08515942464147,14.381169679784062
"TSK-SAT-B KM 14,355",500232,50.073006647954884,14.398144690129811
"TSK-SAT-B KM 14,475",500234,50.0737149815292,14.397105795641009
"TSK-SAT-B KM 14,625",500236,50.0743510995684,14.39528356781719
"TSK-SAT-B-Přemostění ATM-SAT KM 14,335",500210,50.07247025818058,14.398309223787656
"TSK-SAT-rampa jih k SAT KM 14,375",500208,50.07247780051266,14.398353905635473
"TSK-SAT-rampa jih ze SAT KM 14,355",500207,50.071689987595214,14.398183572599116
"TSK-SAT-výjezd z MO-A KM 0,0",500205,50.072926100085084,14.39773912966659
TSK-Slezská,500025,50.07581429109403,14.437900045057058
TSK-Strakonická-Barrandovský most,500472,50.03850471892815,14.407814352498148
TSK-Strakonická-U Královské louky,500501,50.061006652983075,14.411305801679763
TSK-Svornosti-Lidická,500507,50.07241776033695,14.408258581698142
TSK-U Brusnice,500076,50.09457276181351,14.391783955819292
TSK-U výstaviště,500069,50.1045478088611,14.431700411797603
TSK-V Holešovičkách do centra,500066,50.11550628234525,14.446109727717127
TSK-V Holešovičkách z centra,500067,50.115519250775925,14.44611373382979
TSK-Vinohradská-Italská,500014,50.07793890454891,14.436473363921564
TSK-Vltavská-Hořejší nábřeží,500502,50.069942762294524,14.410311355011004
TSK-Vltavská-Nádražní,500506,50.06915943284184,14.405703016040857
TSK-Votická,500020,50.07824356718026,14.473343040047874
TSK-Vrchlického-U Malostran. hřbitova,500215,50.071712206094276,14.39395024344051
TSK-Vypich,500077,50.078927405330624,14.34404372070434
TSK-Vysočanská-Prosecká,500111,50.11771575103749,14.499516828178631
TSK-Výtoň,500043,50.06738526199083,14.414937998732698
TSK-Wilsonova  k P-2,500009,50.084107375926635,14.435310714521714
TSK-Wilsonova  k P-7,500010,50.08410627709317,14.435308551375899
"TSK-ZAT-A KM 11,447",500463,50.04870387740291,14.40925024649799
"TSK-ZAT-A KM 11,522",500462,50.04927053777363,14.408519688498073
"TSK-ZAT-A KM 11,597",500461,50.05016813016484,14.407892134474913
"TSK-ZAT-B KM 11,377",500431,50.049114705228206,14.408956680124335
"TSK-ZAT-B KM 11,447",500432,50.04946498335495,14.408589124468412
"TSK-ZAT-B KM 11,537",500433,50.05003721044688,14.408155800646941
TSK-ZAT-Barrandovský most západ,500473,50.04059832165129,14.405775245911308
TSK-ZAT-Křižovatka Radlická-Zlíchovské přemostění,500401,50.06304276082847,14.405625242361317
TSK-ZAT-PORTÁL SEVER,500405,50.0508452025627,14.407942651360019
TSK-ZAT-Přemostění ATM-ZAT 1,500403,50.05655665043385,14.407019678856289
TSK-ZAT-Přemostění ATM-ZAT 2,500404,50.05337331751987,14.407691913696434
"TSK-ZAT-Přemostění ATM-ZAT KM 12,776",500402,50.059381650619414,14.406366907983477
"TSK-ZAT-Přemostění ZAT-ATM 12,776",500434,50.06065340462943,14.40633047143611
TSK-Zelený ostrov,500103,50.102782430741755,14.495014770886941
TSK-Újezd,500509,50.081084430641525,14.404411350655455
TSK-Českomoravská-Freyova 1. (Harfa),500104,50.101706976238034,14.502863072839004
TSK-Českomoravská-Freyova 2. (Harfa),500105,50.10168739474631,14.50291238878429
TSK-Řásnovka-Štefánikův most,500049,50.09301283529213,14.427444603442527
TSK-Špejchar,500075,50.0979988375014,14.410558937213617
TSK-Špejchar-smyčka tramvají,500074,50.097828788002445,14.407401673535034
U Vršovického hřbitova směr Vršovice UMR,VB-VR,50.063974,14.469384
V Holešovičkách směr z centra,HT-TP,50.117744,14.455297
Zálesí směr Jižní spojka MOR,ZA-JS,50.024405,14.442225
Zálesí směr Novodvorská MOR,ZA-NO,50.024548,14.442314
Ústecká z centra,US-VL,50.13653000000001,14.45268
Černokostelecká-Průmyslová,,50.071353838526875,14.537315368652344
Čidlo 1-Barrandov,531801,50.03993,14.405042
Čidlo 1-Nuselský most,531851,50.054,14.527
Čidlo 10-Jižní spojka/Bráník,531860,50.03542,14.40828
Čidlo 10-Lahovice,531810,49.994545,14.397537
Čidlo 11-Evropská,531811,50.09355,14.304239
Čidlo 11-Jižní spojka/Krč,531861,50.03797,14.45631
Čidlo 12-Jižní spojka/Záběhlická,531862,50.054,14.527
Čidlo 12-Novopacká,531812,50.12508,14.614628
Čidlo 13-Aviatická/Ruzyně,531863,50.054,14.527
Čidlo 13-Vídeňská,531813,49.995377,14.487074
Čidlo 14-Jižní spojka/Černokostelecká,531864,50.054,14.527
Čidlo 14-Mitas,531814,50.061203,14.50805
Čidlo 15-Opatovská/Háje,531865,50.054,14.527
Čidlo 15-Vysočanská,531815,50.113033,14.4971485
Čidlo 16-Kamýcká,531816,50.13843,14.365521
Čidlo 16-Poděbradská/Hloubětín,531866,50.054,14.527
Čidlo 17-Broumarská/Kyje,531867,50.09914,14.55211
Čidlo 17-Slivenec,531817,50.023476,14.353694
Čidlo 18-Jeremiášova/Stodůlky,531868,50.041,14.31836
Čidlo 18-SAT JIH II,531818,50.0712,14.39848
Čidlo 19-Běchovice,531819,50.081043,14.597582
Čidlo 19-Průmyslová/spalovna,531869,50.054,14.527
Čidlo 2-Bulhar,531802,50.085625,14.436838
Čidlo 2-Kukulova/Motol,531852,50.068,14.33508
Čidlo 20-Průmyslová/Hostivař,531870,50.054,14.527
Čidlo 20-Čimická,531820,50.144413,14.432528
Čidlo 21-Krejcárek,531821,50.097874,14.474548
Čidlo 21-Vysočanská/Jiřetínská,531871,50.054,14.527
Čidlo 22-Štychova/Křeslice,531872,50.02731,14.55883
Čidlo 23-Náchodská/Horní počernice,531873,50.11122,14.59017
Čidlo 24-Jižní spojka/Rabakovská,531874,50.054,14.527
Čidlo 25-Šterboholská spojka/Štěrboholy,531875,50.054,14.527
Čidlo 26-Vypich-Bělohorská/Kukulova,531876,50.054,14.527
Čidlo 27-Mladoboleslavská/Vinoř,531877,50.14025,14.57614
Čidlo 28-Ústecká/K Ládví,531878,50.054,14.527
Čidlo 3-Spořilov,531803,50.04036,14.470484
Čidlo 3-Českobrodská/Pod Táborem,531853,50.054,14.527
Čidlo 4-most Barikádníků,531854,50.054,14.527
Čidlo 4-Uhříněves,531804,50.02543,14.619888
Čidlo 5-5.května/Děkanská vinice,531855,50.054,14.527
Čidlo 5-Zličín,531805,50.054466,14.289665
Čidlo 6-5.května/Michle,531856,50.04836,14.45111
Čidlo 6-SAT JIH,531806,50.072468,14.398088
Čidlo 7-5. května/Na Strži,531857,50.054,14.527
Čidlo 7-SAT Sever,531807,50.08843,14.38286
Čidlo 8-Kyje,531808,50.09226,14.533048
Čidlo 8-ST/Malovanka,531858,50.054,14.527
Čidlo 9-5.května/Chodov,531859,50.03939,14.48667
Čidlo 9-Cínovecká,531809,50.147495,14.494033
Čidlo Holešovice/Vrbenského,531954,50.109318,14.441252
Čidlo K Pazderkám,531963,50.127426,14.4318495
Čidlo Kolárovova/Čs.exilu,531961,50.00423,14.416883
Čidlo Meteorologická,531971,50.005947,14.457905
Čidlo Opatov/Hrnčířská,531952,50.026302,14.509193
Čidlo Prvomájová/železniční stanice,531955,49.986687,14.36348
Čidlo Vypich-Bělohorská/Kukulova,531951,50.079002,14.344662
Čidlo Černý most/Chlumecká,531953,50.11016,14.579415
Šantrochova směr centrum MOR,SA-CI,50.087706,14.347796
Štěrboholská sp. – Dubeč,500576,50.076822985397044,14.580614897787338
Štěrboholská sp. – Granátnická,500574,50.075999525461214,14.547778931737804
Štěrboholská sp. – Nár. hrdinů,500575,50.07790080278694,14.565998724339753
Štěrboholská sp. – Českobrodská,500577,50.08053469903176,14.592790183602167
